cedula;nombre;direccion;correoparticular;telefono;tipo
1233123;joles jose;qtorres@hispavista.com;silvia64@rodriquez.com.ve;424956254;I
1739225;Lcda. Ona Nieves;oordonez@pereira.co.ve;pozo.victoria@yahoo.com;4245161;E
68236239;Lcdo. Santiago Hidalgo;westeban@medrano.com;naiara40@hotmail.com;15652312;E
1091758;Juan Robledo;montenegro.laura@velasco.web.ve;africa.irizarry@cantu.org;151215;I
725154;Dra. Maria Aparicio Hijo;zcastellano@leon.org.ve;cardenas.abril@latinmail.com;1515105;I
243915;Roberto Juan Contreras;adriana09@latinmail.com;prado.ainara@terra.com;1552562;I
69022267;Isaac Victor Santiago;bvillasenor@hotmail.es;cintron.jose@gmail.com;+58 4399408435;E
1125197;Noelia Carrasquillo;fvilla@cantu.co.ve;pozo.yaiza@coronado.net;84342798839;E
1915134;Jose Almaraz Hijo;saul65@hotmail.es;elsa.pacheco@ordonez.co.ve;6263330;I
21848222;Dn. Ignacio Abreu;omar63@yahoo.com;leyre.hurtado@carrion.web.ve;2055056973;I
185134;Carlos pamaraz Hijo;saul65@hotmail.es;elsa.pacheco@ordonez.co.ve;626315330;I
683212;Laura Naia Atencio;ocastellano@yahoo.es;dfajardo@hotmail.es;+58 247-326-6412;I
501956235;Dn. Adam Ferrer Hijo;ecazares@trevino.com.ve;kocampo@live.com;4325667340;E
110513103;Dn. Sebastian Polo;breynoso@magana.org;izan86@olivarez.org;250-412-8327;I
189134;Guijo;saul65@hotmail.es;elsa.pacheco@ordonez.co.ve;62683330;I
3215134;Hijo Torres;saul65@hotmail.es;elsa.pacheco@ordonez.co.ve;6263330;I
108237754;Rayan Leo Corona Quintana;hector35@sola.net.ve;alejandro97@live.com;2523329327;E
29043152;Lcdo. Eric Clemente Hijo;gaytan.ismael@conde.co.ve;melizondo@arredondo.net.ve;5014662;I
25219248;Adria Miramontes Hijo;alma.brito@anton.co.ve;marco.pedro@pantoja.co.ve;4875747;E
11959882;Lcda. Abril Olmos Hijo;dvargas@sevilla.org;ltrejo@mojica.co.ve;452 326 1568;I
6199223;Raul Marco Urbina;cristian.sancho@yahoo.es;peralta.joan@terra.com;511922840;E
384853;Erik Adam Valero;cabello.julia@vera.org.ve;cristian.terrazas@hispavista.com;1007891;I
155218532;Pol Nicolas Riojas Arribas;alejandra11@yahoo.com;jimena.tapia@vaca.net;2316558390;E
18915134;Guillermo Almaraz Hijo;saul65@hotmail.es;elsa.pacheco@ordonez.co.ve;6263330;I
189334;Guille Hijo;saul65@hotmail.es;elsa.pacheco@ordonez.co.ve;6263330;I
